doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
usa_nevada_las-vegas_staybridge_suites_las_vegas,staybridge suites las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d1197075-r50290103-Staybridge_Suites_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89118,-1,-1,113,4.8846153846,4.9134615385,4.7211538462,4.2596153846,4.8557692308,0,4.7269230769
usa_nevada_las-vegas_four_seasons_hotel_las_vegas,four seasons hotel las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d91674-r50351846-Four_Seasons_Hotel_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,427,4.8233215548,4.6148409894,4.6925795053,4.2190812721,4.3392226148,0,4.5378091873
usa_nevada_las-vegas_desert_rose_resort,desert rose resort,http://www.tripadvisor.com/ShowUserReviews-g45963-d217598-r50312177-Desert_Rose_Resort-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,325,4.6013289037,4.6146179402,4.5481727575,4.4684385382,4.707641196,0,4.5880398671
usa_nevada_las-vegas_signature_at_mgm_grand,signature at mgm grand,http://www.tripadvisor.com/ShowUserReviews-g45963-d601419-r50452764-Signature_at_MGM_Grand-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,324,4.7574750831,4.7607973422,4.4551495017,4.1295681063,4.4551495017,0,4.511627907
usa_nevada_las-vegas_skylofts_at_mgm_grand,skylofts at mgm grand,http://www.tripadvisor.com/ShowUserReviews-g45963-d619205-r50472678-Skylofts_at_MGM_Grand-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,77,4.8636363636,4.8939393939,4.803030303,4.5303030303,4.3787878788,0,4.6939393939
usa_nevada_las-vegas_wingate_by_wyndham_henderson,wingate by wyndham henderson,http://www.tripadvisor.com/ShowUserReviews-g45963-d622849-r47272636-Wingate_by_Wyndham_Henderson-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89052,-1,-1,33,4.7931034483,4.6896551724,4.7586206897,4.275862069,4.6551724138,0,4.6344827586
usa_nevada_las-vegas_marriott_s_grand_chateau,marriott s grand chateau,http://www.tripadvisor.com/ShowUserReviews-g45963-d567617-r50056282-Marriott_s_Grand_Chateau-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,183,4.6326530612,4.5782312925,4.3197278912,4.4353741497,4.3197278912,0,4.4571428571
usa_nevada_las-vegas_platinum_hotel_and_spa,platinum hotel and spa,http://www.tripadvisor.com/ShowUserReviews-g45963-d610513-r50492467-Platinum_Hotel_and_Spa-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89169,-1,-1,347,4.6544850498,4.7906976744,4.3322259136,3.9601328904,4.5083056478,0,4.4491694352
usa_nevada_las-vegas_element_by_westin_las_vegas_summerlin,element by westin las vegas summerlin,http://www.tripadvisor.com/ShowUserReviews-g45963-d1149361-r48750791-Element_by_Westin_Las_Vegas_Summerlin-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89135,-1,-1,25,4.6956521739,4.652173913,4.3913043478,3.7826086957,4.4782608696,0,4.4
usa_nevada_las-vegas_jw_marriott_las_vegas_resort_spa_golf,jw marriott las vegas resort spa golf,http://www.tripadvisor.com/ShowUserReviews-g45963-d124741-r50006922-JW_Marriott_Las_Vegas_Resort_Spa_Golf-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89145,-1,-1,388,4.6170212766,4.6117021277,4.4095744681,4.0212765957,4.2872340426,0,4.3893617021
usa_nevada_las-vegas_bellagio_las_vegas,bellagio las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d91703-r50502245-Bellagio_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,337,4.5747508306,4.3222591362,4.1760797342,4.8471760797,3.9700996678,0,4.3780730897
usa_nevada_las-vegas_wynn_las_vegas,wynn las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d503598-r50410521-Wynn_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,331,4.7408637874,4.584717608,4.2093023256,4.2358803987,3.9734219269,0,4.3488372093
usa_nevada_las-vegas_the_palazzo_resort_hotel_casino,the palazzo resort hotel casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d675000-r50530122-The_Palazzo_Resort_Hotel_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,324,4.3388704319,4.5681063123,4.0996677741,4.561461794,4.0332225914,0,4.3202657807
usa_nevada_las-vegas_venetian_resort_hotel_casino,venetian resort hotel casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d97704-r50472284-Venetian_Resort_Hotel_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,339,4.5083056478,4.4053156146,3.950166113,4.6279069767,3.926910299,0,4.2837209302
usa_nevada_las-vegas_south_point_hotel_casino_and_spa,south point hotel casino and spa,http://www.tripadvisor.com/ShowUserReviews-g45963-d570084-r50437268-South_Point_Hotel_Casino_and_Spa-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89183,-1,-1,347,4.5747508306,4.5083056478,4.0598006645,3.3687707641,4.4983388704,0,4.2019933555
usa_nevada_las-vegas_encore_at_wynn_las_vegas,encore at wynn las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d1123368-r50445553-Encore_At_Wynn_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,334,4.6943521595,4.5282392027,3.9069767442,3.8106312292,3.7641196013,0,4.1408637874
usa_nevada_las-vegas_palms_place_hotel_spa,palms place hotel spa,http://www.tripadvisor.com/ShowUserReviews-g45963-d858503-r50133798-Palms_Place_Hotel_Spa-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89104,-1,-1,91,4.4137931034,4.724137931,4.2873563218,3.8045977011,4.4367816092,0,4.3333333333
usa_nevada_las-vegas_bill_s_gamblin_hall_saloon,bill s gamblin hall saloon,http://www.tripadvisor.com/ShowUserReviews-g45963-d91700-r50502256-Bill_s_Gamblin_Hall_Saloon-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,340,4.2724252492,4.1029900332,4.0664451827,4.9102990033,4.6146179402,0,4.3933554817
usa_nevada_las-vegas_summer_bay_resorts_las_vegas_desert_club,summer bay resorts las vegas desert club,http://www.tripadvisor.com/ShowUserReviews-g45963-d1164660-r49659864-Summer_Bay_Resorts_Las_Vegas_Desert_Club-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,32,4.5517241379,4.4137931034,4.2068965517,4.275862069,4.5172413793,0,4.3931034483
usa_nevada_las-vegas_the_carriage_house,the carriage house,http://www.tripadvisor.com/ShowUserReviews-g45963-d91949-r50290234-The_Carriage_House-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,194,4.4301075269,4.311827957,4.3548387097,4.2580645161,4.5053763441,0,4.3720430108
usa_nevada_las-vegas_holiday_inn_express_hotel_and_suites_las_vegas_215_beltway,holiday inn express hotel and suites las vegas 215 beltway,http://www.tripadvisor.com/ShowUserReviews-g45963-d631387-r50377077-Holiday_Inn_Express_Hotel_and_Suites_Las_Vegas_215_Beltway-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89118,-1,-1,16,4.6923076923,4.6153846154,4.7692307692,4.3846153846,4.7692307692,0,4.6461538462
usa_nevada_las-vegas_mirage_hotel_casino,mirage hotel casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d97737-r50483102-Mirage_Hotel_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,327,4.4252491694,4.2325581395,4.1295681063,4.780730897,4.1627906977,0,4.346179402
usa_nevada_las-vegas_the_orleans_hotel_casino,the orleans hotel casino,http://www.tripadvisor.com/ShowUserReviews-g45963-d91907-r50343309-The_Orleans_Hotel_Casino-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89103,-1,-1,349,4.1661129568,3.9900332226,4.0033222591,3.4717607973,4.2823920266,0,3.9827242525
usa_nevada_las-vegas_hilton_grand_vacations_suites_on_the_las_vegas_strip,hilton grand vacations suites on the las vegas strip,http://www.tripadvisor.com/ShowUserReviews-g45963-d277720-r50315689-Hilton_Grand_Vacations_Suites_on_the_Las_Vegas_Strip-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,363,4.5458167331,4.5059760956,4.2749003984,3.3147410359,4.2390438247,0,4.1760956175
usa_nevada_las-vegas_renaissance_las_vegas_hotel,renaissance las vegas hotel,http://www.tripadvisor.com/ShowUserReviews-g45963-d489077-r50191193-Renaissance_Las_Vegas_Hotel-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89169,-1,-1,262,4.598540146,4.3795620438,4.3430656934,3.6569343066,4.2189781022,0,4.2394160584
usa_nevada_las-vegas_thehotel_at_mandalay_bay,thehotel at mandalay bay,http://www.tripadvisor.com/ShowUserReviews-g45963-d496876-r50445975-THEhotel_at_Mandalay_Bay-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,338,4.3122923588,4.415282392,3.9601328904,3.5581395349,3.8571428571,0,4.0205980066
